2024-10-28 18:16:31,402 | INFO | main_pipeline.py | run_pipeline | Line: 62 | Pipeline started
2024-10-28 18:16:31,411 | INFO | main_pipeline.py | run_pipeline | Line: 65 | Loading data from ../data/raw/Appliances.jsonl
2024-10-28 18:16:31,412 | INFO | main_pipeline.py | load_data | Line: 38 | Attempting to load data from ../data/raw/Appliances.jsonl
2024-10-28 18:17:06,864 | INFO | main_pipeline.py | load_data | Line: 47 | Data loaded successfully
2024-10-28 18:17:06,866 | INFO | main_pipeline.py | load_data | Line: 53 | Data Loading completed for 2128605 records
2024-10-28 18:17:06,868 | INFO | main_pipeline.py | run_pipeline | Line: 68 | Data loaded successfully. Shape: (2128605, 10)
2024-10-28 18:17:06,879 | INFO | main_pipeline.py | run_pipeline | Line: 75 | Starting data cleaning
2024-10-28 18:17:06,882 | INFO | data_cleaning.py | clean_dataframe | Line: 24 | Cleaning dataframe initiated
2024-10-28 18:17:07,919 | INFO | data_cleaning.py | clean_dataframe | Line: 28 | Data cleaning completed for 600 records
2024-10-28 18:17:07,919 | INFO | main_pipeline.py | run_pipeline | Line: 78 | Data cleaning completed
2024-10-28 18:17:07,920 | INFO | main_pipeline.py | run_pipeline | Line: 84 | Starting sentiment analysis
2024-10-28 18:17:07,921 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 82 | Sentiment Analysis initialized
2024-10-28 18:17:07,922 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 85 | Running Heuristic Sentiment Labler
2024-10-28 18:17:07,981 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 87 | Finished Heuristic Sentiment Labeling
2024-10-28 18:17:07,981 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 89 | Running VADER Sentiment Labler
2024-10-28 18:17:08,367 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 92 | Finished VADER Sentiment Labeling
2024-10-28 18:17:08,367 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 94 | Running TextBlob Sentiment Labler
2024-10-28 18:17:08,936 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 97 | Finished TextBlob Sentiment Labeling
2024-10-28 18:17:08,936 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 99 | Running Flair Sentiment Labler
2024-10-28 18:17:19,666 | INFO | data_preprocessing.py | apply_sentiment_analysis | Line: 102 | Finished Flair Sentiment Labeling
2024-10-28 18:17:19,667 | INFO | main_pipeline.py | run_pipeline | Line: 87 | Sentiment analysis completed
2024-10-28 18:17:19,667 | INFO | main_pipeline.py | run_pipeline | Line: 93 | Applying majority vote for sentiment labeling
2024-10-28 18:17:19,668 | INFO | data_labelling.py | apply_majority_vote | Line: 22 | Majority Voting
2024-10-28 18:17:19,706 | INFO | main_pipeline.py | run_pipeline | Line: 96 | Sentiment labeling completed
2024-10-28 18:17:19,706 | INFO | main_pipeline.py | run_pipeline | Line: 102 | Saving data to ../data/processed/final_amazon_reviews.csv
2024-10-28 18:17:19,783 | INFO | main_pipeline.py | run_pipeline | Line: 105 | Data saved successfully
2024-10-28 18:17:19,783 | INFO | main_pipeline.py | run_pipeline | Line: 110 | Pipeline completed successfully
